Date,Lo-3Prior,7-Hi Prior,ValueLo30,ValueMed40,ValueHi30,SizeLo30,SizeMed40,SizeHi30,Mkt_RF,SMB,HML,RF,WML,Mkt,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Big_Small_Hi_Lo_Spread
3/31/1929,0.00,-0.01,-0.0149,0.0199,-0.0086,-0.0352,-0.0451,0.0034,-0.0089,-0.0478,0.0156,0.0034,-0.0105,-0.0055,-0.042,-0.0567,-0.0407,0.0078,0.0082,-0.0144,-0.01045
4/30/1929,-0.02,0.03,0.0217,0.0118,0.024,-0.0053,0.0247,0.0171,0.0143,-0.0099,0.0061,0.0036,0.019,0.0179,0.0174,-0.0065,0.019,-0.0094,0.0174,0.0269,0.01895
5/31/1929,-0.08,-0.06,-0.0582,-0.0436,-0.0741,-0.1449,-0.0873,-0.0489,-0.0639,-0.0546,-0.0157,0.0044,-0.0204,-0.0595,-0.1122,-0.0892,-0.1178,-0.0341,-0.0453,-0.0693,-0.0204
6/30/1929,0.02,0.13,0.1235,0.0935,0.0731,0.0669,0.1006,0.1038,0.097,-0.0217,-0.0276,0.0052,0.0872,0.1022,0.0429,0.0613,0.1038,0.0308,0.0772,0.1443,0.0872
7/31/1929,0.01,0.06,0.0348,0.059,0.0479,-0.001,0.023,0.0514,0.0446,-0.0387,0.0267,0.0033,0.0283,0.0479,0.0082,-0.0022,0.0241,0.009,0.0485,0.0498,0.02835
8/31/1929,0.02,0.11,0.0709,0.1201,0.0588,-0.0055,0.0252,0.0943,0.0818,-0.0951,0.0007,0.004,0.0459,0.0858,-0.0134,-0.0002,0.0187,0.0527,0.076,0.1124,0.0459
9/30/1929,-0.09,-0.05,-0.0442,-0.0494,-0.0595,-0.0552,-0.0367,-0.0508,-0.0547,0.0117,-0.0063,0.0035,0.0304,-0.0512,-0.0612,-0.0371,-0.0209,-0.074,-0.0358,-0.0535,0.0304
10/31/1929,-0.29,-0.17,-0.2415,-0.1428,-0.117,-0.22,-0.2116,-0.1904,-0.2012,-0.0408,0.0785,0.0046,0.0409,-0.1966,-0.2433,-0.197,-0.2322,-0.2798,-0.1132,-0.2091,0.0409
11/30/1929,-0.14,-0.12,-0.1429,-0.1089,-0.0826,-0.138,-0.1256,-0.1204,-0.1274,-0.0191,0.0533,0.0037,-0.0239,-0.1237,-0.1259,-0.106,-0.1817,-0.1424,-0.0817,-0.1345,-0.02395
12/31/1929,-0.04,0.01,0.033,0.0044,0.0093,-0.0637,-0.0033,0.0218,0.0133,-0.042,-0.0059,0.0037,0.0513,0.017,-0.0778,-0.0197,-0.0057,0.0009,-0.0162,0.0315,0.05135
1/31/1930,0.09,0.05,0.0716,0.0351,0.0358,0.1306,0.0783,0.0489,0.0561,0.0358,-0.0101,0.0014,-0.0524,0.0575,0.1784,0.0876,0.067,0.0431,0.0587,0.0497,-0.0524
2/28/1930,0.02,0.02,0.0343,0.0186,0.0162,0.0264,0.0184,0.0292,0.025,0.0012,0.0039,0.003,0.0045,0.028,0.0413,0.033,0.0286,0.0078,0.018,0.0295,0.0045
3/31/1930,0.09,0.07,0.0685,0.0843,0.0605,0.1207,0.0884,0.074,0.071,0.0344,0.0015,0.0035,-0.0418,0.0745,0.1184,0.1142,0.0635,0.0991,0.0666,0.0704,-0.0418
4/30/1930,-0.02,-0.02,-0.0242,-0.0179,-0.0623,-0.037,-0.049,-0.0185,-0.0206,-0.0017,-0.0084,0.0021,0.0391,-0.0185,-0.0542,-0.065,-0.021,-0.0594,-0.0246,-0.0144,0.0391
5/31/1930,-0.01,-0.02,0.0064,-0.0227,-0.0158,-0.0549,-0.0307,-0.0094,-0.0166,-0.0204,-0.0063,0.0026,-0.0002,-0.014,-0.0606,-0.0164,-0.0231,0.0279,-0.0224,-0.0101,-0.00025
6/30/1930,-0.23,-0.14,-0.1784,-0.1328,-0.1281,-0.1947,-0.1678,-0.1529,-0.1627,-0.0322,0.02,0.0027,0.0661,-0.16,-0.257,-0.1824,-0.1671,-0.1861,-0.1732,-0.1438,0.0661
7/31/1930,0.05,0.04,0.0443,0.042,0.0468,0.0268,0.0443,0.0432,0.0412,-0.0037,-0.0156,0.002,-0.0216,0.0432,0.0461,0.0366,0.0301,0.0577,0.0665,0.0305,-0.0216
8/31/1930,-0.03,0.01,0.0114,-0.0083,-0.0181,-0.0331,-0.0151,0.0061,0.003,-0.0222,-0.0078,0.0009,0.0395,0.0039,-0.0387,-0.0212,0.0082,-0.0266,0.0104,0.0055,0.0395
9/30/1930,-0.23,-0.11,-0.1205,-0.1186,-0.1752,-0.1943,-0.153,-0.1207,-0.1275,-0.0222,-0.0527,0.0022,0.1144,-0.1253,-0.205,-0.1564,-0.1097,-0.2318,-0.1332,-0.0982,0.11445
10/31/1930,-0.16,-0.07,-0.0944,-0.0734,-0.1133,-0.1079,-0.0967,-0.0877,-0.0878,-0.001,-0.0135,0.0009,0.0701,-0.0869,-0.1298,-0.094,-0.0829,-0.1647,-0.0959,-0.0713,0.07015
11/30/1930,0.00,-0.02,-0.0233,-0.0283,-0.0578,-0.0333,-0.0202,-0.0279,-0.0304,0.0221,-0.0353,0.0013,-0.0117,-0.0291,-0.0266,-0.0362,-0.0153,0.0121,-0.0385,-0.0226,-0.0117
12/31/1930,-0.20,-0.05,-0.0586,-0.0925,-0.1134,-0.1703,-0.1082,-0.0705,-0.0783,-0.0468,-0.0539,0.0014,0.1329,-0.0769,-0.2116,-0.149,-0.0787,-0.1756,-0.1001,-0.0428,0.13285
1/31/1931,0.17,0.05,0.0477,0.0716,0.1396,0.1723,0.0903,0.0597,0.0624,0.0381,0.0721,0.0015,-0.1094,0.0639,0.2431,0.1358,0.0938,0.1216,0.0622,0.052,-0.10945
2/28/1931,0.25,0.09,0.1287,0.0694,0.1316,0.1858,0.1313,0.1063,0.1088,0.0339,0.016,0.0004,-0.1437,0.1092,0.2133,0.1627,0.1072,0.2581,0.1434,0.0766,-0.1438
3/31/1931,-0.14,-0.05,-0.042,-0.1004,-0.0848,-0.0546,-0.0626,-0.0621,-0.0643,0.0307,-0.0365,0.0013,0.0955,-0.063,-0.1269,-0.0551,-0.021,-0.1266,-0.0859,-0.0415,0.0955
4/30/1931,-0.21,-0.08,-0.0888,-0.1124,-0.1281,-0.1692,-0.143,-0.0931,-0.0998,-0.0461,-0.0392,0.0008,0.1142,-0.099,-0.2115,-0.1656,-0.1029,-0.1857,-0.1303,-0.0658,0.11425
5/31/1931,-0.19,-0.12,-0.1138,-0.1561,-0.1907,-0.1196,-0.1317,-0.1319,-0.1324,0.0516,-0.0657,0.0009,0.0903,-0.1315,-0.1733,-0.1446,-0.0655,-0.1918,-0.1424,-0.119,0.0903
6/30/1931,0.31,0.12,0.1282,0.1578,0.2421,0.1624,0.1361,0.1409,0.139,-0.0538,0.113,0.0008,-0.1785,0.1398,0.2541,0.1772,0.087,0.296,0.1838,0.106,-0.17855
7/31/1931,-0.13,-0.05,-0.0519,-0.1011,-0.1011,-0.0607,-0.074,-0.065,-0.0662,0.0143,-0.021,0.0006,0.0805,-0.0656,-0.1136,-0.0747,-0.0317,-0.119,-0.0908,-0.0399,0.0805
8/31/1931,0.05,-0.01,0.0088,-0.0157,-0.0125,-0.0434,-0.013,0.0035,0.0041,-0.0197,-0.0149,0.0003,-0.0352,0.0044,-0.0134,-0.0254,-0.0351,0.0516,-0.006,0.0028,-0.03525
9/30/1931,-0.38,-0.28,-0.2885,-0.2825,-0.3468,-0.3167,-0.2973,-0.2884,-0.2913,0.0056,-0.0675,0.0003,0.1018,-0.291,-0.3931,-0.307,-0.2945,-0.3686,-0.3074,-0.2636,0.1018
